iter	RMSE
0	0.3897764843
1	0.3827482499
2	0.3763229945
3	0.3696750986
4	0.3635451334
5	0.3568127289
6	0.3507789709
7	0.3448356042
8	0.3391462806
9	0.333105785
10	0.3276429977
11	0.3222304227
12	0.3166337555
13	0.3114042634
14	0.306429081
15	0.3014066488
16	0.2967333835
17	0.2920854374
18	0.2873603206
19	0.2832131278
20	0.2790859781
21	0.2748214456
22	0.2708805123
23	0.267283417
24	0.2632864091
25	0.2596109985
26	0.256253077
27	0.2524743342
28	0.2489631984
29	0.2455379226
30	0.2420415986
31	0.2386848484
32	0.2356003499
33	0.2325998937
34	0.2295514915
35	0.2265407057
36	0.2237355042
37	0.2207661198
38	0.2182199714
39	0.2155273791
40	0.2127715767
41	0.2106695976
42	0.2081107596
43	0.2058338293
44	0.2037369332
45	0.2015007417
46	0.1992741415
47	0.1971387216
48	0.1950480139
49	0.1928304065
50	0.1907909243
51	0.1889192368
52	0.1870912611
53	0.1853293386
54	0.1833613747
55	0.1814640236
56	0.1795986745
57	0.1778917648
58	0.1762606365
59	0.1746861688
60	0.1731567124
61	0.1715908134
62	0.1700776026
63	0.1685485194
64	0.167176538
65	0.16576107
66	0.164403961
67	0.1631097596
68	0.1616942418
69	0.1604188638
70	0.1591907837
71	0.158057795
72	0.1568013735
73	0.1556375468
74	0.1544482687
75	0.1535787499
76	0.1523412472
77	0.1511666807
78	0.1501562387
79	0.1491320691
80	0.1481499011
81	0.1471602957
82	0.146191049
83	0.1452995379
84	0.1443487655
85	0.143498509
86	0.1425878232
87	0.1416860254
88	0.1409393465
89	0.140163221
90	0.1393793047
91	0.1385168184
92	0.1377461075
93	0.1370204845
94	0.1362871726
95	0.1354980353
96	0.1347565439
97	0.1340887579
98	0.1333699447
99	0.1327942974
100	0.1321112139
101	0.1314732075
102	0.130811711
103	0.1302028235
104	0.1295930812
105	0.1290336011
106	0.128368961
107	0.1278119672
108	0.1272006867
109	0.1266284296
110	0.1261150493
111	0.1254679967
112	0.1249207988
113	0.1243032873
114	0.1237040037
115	0.123256917
116	0.1226724645
117	0.1221551012
118	0.1216895108
119	0.1211432513
120	0.1205754119
121	0.120152111
122	0.1196243354
123	0.119124347
124	0.1186315148
125	0.1181727911
126	0.1178035701
127	0.1173449907
128	0.1169166072
129	0.1165034638
130	0.1160810504
131	0.1156977471
132	0.1153028127
133	0.114935154
134	0.1145325307
135	0.1141501355
136	0.1138322695
137	0.1134563524
138	0.1130757281
139	0.1126645068
140	0.1123142295
141	0.1119426181
142	0.1115172442
143	0.1111330176
144	0.1107687638
145	0.1104876029
146	0.1100791886
147	0.1097801955
148	0.1094415392
149	0.1090788959
150	0.1087778642
151	0.1084743967
152	0.1081652982
153	0.1078325902
154	0.1075745572
155	0.107275635
156	0.106915955
157	0.1066113302
158	0.1063149491
159	0.1059928494
160	0.1057666225
161	0.1054474395
162	0.105176577
163	0.1049138484
164	0.1045837905
165	0.1042818587
166	0.1040146039
167	0.1037864683
168	0.1034865026
169	0.1031939978
170	0.1029703567
171	0.1026578174
172	0.1023767633
173	0.102108527
174	0.1018951022
175	0.1016845305
176	0.1014378025
177	0.1012355732
178	0.1010077765
179	0.1007763263
180	0.1005425218
181	0.1003445628
182	0.1001232445
183	0.09991848511
184	0.09966516184
185	0.09938647866
186	0.09916468688
187	0.09889711076
188	0.09871079966
189	0.09849911661
190	0.09826138733
191	0.09808812663
192	0.09784473611
193	0.09757654562
194	0.09739424569
195	0.09721224084
196	0.09700352823
197	0.09679535121
198	0.09662486389
199	0.09647096045
200	0.09620204564
201	0.09597204089
202	0.09579111153
203	0.09560136732
204	0.09542849792
205	0.09520503432
206	0.09503949929
207	0.09483651838
208	0.09464330722
209	0.09449467822
210	0.09430859577
211	0.09413353105
212	0.09396530854
213	0.09380514947
214	0.09360067368
215	0.09342828396
216	0.09323954717
217	0.0930798736
218	0.09299633993
219	0.09280524813
220	0.09262384598
221	0.09248652108
222	0.09230114558
223	0.09219586596
224	0.09202637441
225	0.09189125672
226	0.0917111135
227	0.09154139588
228	0.09136230634
229	0.09122689372
230	0.09108021028
231	0.09091593159
232	0.09080288985
233	0.09055410214
234	0.09037191977
235	0.09023985165
236	0.09003272147
237	0.08991687423
238	0.08977364485
239	0.08964751113
240	0.08954367816
241	0.0894497892
242	0.08927541626
243	0.08911270632
244	0.08892690791
245	0.08877857224
246	0.08863286121
247	0.08848675735
248	0.08834869773
249	0.08821433275
250	0.08806933204
251	0.08798819418
252	0.08783776286
253	0.08762148769
254	0.08751228319
255	0.08740126308
256	0.08721982206
257	0.08709539329
258	0.086965816
259	0.08687053176
260	0.0866683595
261	0.08658388167
262	0.0864592864
263	0.08627150041
264	0.08614400418
265	0.0860166698
266	0.08586637242
267	0.08566880588
268	0.0855189129
269	0.08544192365
270	0.0853274758
271	0.08519318697
272	0.08510754811
273	0.0849975429
274	0.08490902553
275	0.08480206648
276	0.08468448759
277	0.08455245442
